areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E92000001,England,nation,2021-04-04,25
E92000001,England,nation,2021-04-03,27
E92000001,England,nation,2021-04-02,22
E92000001,England,nation,2021-04-01,29
E92000001,England,nation,2021-03-31,37
E92000001,England,nation,2021-03-30,38
E92000001,England,nation,2021-03-29,27
E92000001,England,nation,2021-03-28,27
E92000001,England,nation,2021-03-27,32
E92000001,England,nation,2021-03-26,41
E92000001,England,nation,2021-03-25,38
E92000001,England,nation,2021-03-24,35
E92000001,England,nation,2021-03-23,48
E92000001,England,nation,2021-03-22,59
E92000001,England,nation,2021-03-21,71
E92000001,England,nation,2021-03-20,59
E92000001,England,nation,2021-03-19,56
E92000001,England,nation,2021-03-18,51
E92000001,England,nation,2021-03-17,66
E92000001,England,nation,2021-03-16,69
E92000001,England,nation,2021-03-15,88
E92000001,England,nation,2021-03-14,83
E92000001,England,nation,2021-03-13,99
E92000001,England,nation,2021-03-12,81
E92000001,England,nation,2021-03-11,109
E92000001,England,nation,2021-03-10,99
E92000001,England,nation,2021-03-09,117
E92000001,England,nation,2021-03-08,122
E92000001,England,nation,2021-03-07,115
E92000001,England,nation,2021-03-06,128
E92000001,England,nation,2021-03-05,156
E92000001,England,nation,2021-03-04,130
E92000001,England,nation,2021-03-03,126
E92000001,England,nation,2021-03-02,157
E92000001,England,nation,2021-03-01,192
E92000001,England,nation,2021-02-28,198
E92000001,England,nation,2021-02-27,197
E92000001,England,nation,2021-02-26,196
E92000001,England,nation,2021-02-25,222
E92000001,England,nation,2021-02-24,241
E92000001,England,nation,2021-02-23,257
E92000001,England,nation,2021-02-22,242
E92000001,England,nation,2021-02-21,286
E92000001,England,nation,2021-02-20,305
E92000001,England,nation,2021-02-19,316
E92000001,England,nation,2021-02-18,366
E92000001,England,nation,2021-02-17,385
E92000001,England,nation,2021-02-16,397
E92000001,England,nation,2021-02-15,461
E92000001,England,nation,2021-02-14,438
E92000001,England,nation,2021-02-13,432
E92000001,England,nation,2021-02-12,459
E92000001,England,nation,2021-02-11,513
E92000001,England,nation,2021-02-10,544
E92000001,England,nation,2021-02-09,541
E92000001,England,nation,2021-02-08,613
E92000001,England,nation,2021-02-07,569
E92000001,England,nation,2021-02-06,612
E92000001,England,nation,2021-02-05,677
E92000001,England,nation,2021-02-04,651
E92000001,England,nation,2021-02-03,778
E92000001,England,nation,2021-02-02,763
E92000001,England,nation,2021-02-01,809
E92000001,England,nation,2021-01-31,813
E92000001,England,nation,2021-01-30,833
E92000001,England,nation,2021-01-29,945
E92000001,England,nation,2021-01-28,1019
E92000001,England,nation,2021-01-27,1011
E92000001,England,nation,2021-01-26,966
E92000001,England,nation,2021-01-25,1075
E92000001,England,nation,2021-01-24,1042
E92000001,England,nation,2021-01-23,1065
E92000001,England,nation,2021-01-22,1125
E92000001,England,nation,2021-01-21,1137
E92000001,England,nation,2021-01-20,1176
E92000001,England,nation,2021-01-19,1249
E92000001,England,nation,2021-01-18,1170
E92000001,England,nation,2021-01-17,1172
E92000001,England,nation,2021-01-16,1175
E92000001,England,nation,2021-01-15,1104
E92000001,England,nation,2021-01-14,1092
E92000001,England,nation,2021-01-13,1106
E92000001,England,nation,2021-01-12,1095
E92000001,England,nation,2021-01-11,1006
E92000001,England,nation,2021-01-10,983
E92000001,England,nation,2021-01-09,931
E92000001,England,nation,2021-01-08,890
E92000001,England,nation,2021-01-07,890
E92000001,England,nation,2021-01-06,827
E92000001,England,nation,2021-01-05,823
E92000001,England,nation,2021-01-04,758
E92000001,England,nation,2021-01-03,653
E92000001,England,nation,2021-01-02,672
E92000001,England,nation,2021-01-01,644
E92000001,England,nation,2020-12-31,653
E92000001,England,nation,2020-12-30,627
E92000001,England,nation,2020-12-29,581
E92000001,England,nation,2020-12-28,591
E92000001,England,nation,2020-12-27,581
E92000001,England,nation,2020-12-26,570
E92000001,England,nation,2020-12-25,540
E92000001,England,nation,2020-12-24,488
E92000001,England,nation,2020-12-23,482
E92000001,England,nation,2020-12-22,491
E92000001,England,nation,2020-12-21,496
E92000001,England,nation,2020-12-20,430
E92000001,England,nation,2020-12-19,413
E92000001,England,nation,2020-12-18,434
E92000001,England,nation,2020-12-17,440
E92000001,England,nation,2020-12-16,354
E92000001,England,nation,2020-12-15,390
E92000001,England,nation,2020-12-14,412
E92000001,England,nation,2020-12-13,366
E92000001,England,nation,2020-12-12,375
E92000001,England,nation,2020-12-11,398
E92000001,England,nation,2020-12-10,379
E92000001,England,nation,2020-12-09,375
E92000001,England,nation,2020-12-08,376
E92000001,England,nation,2020-12-07,359
E92000001,England,nation,2020-12-06,356
E92000001,England,nation,2020-12-05,344
E92000001,England,nation,2020-12-04,413
E92000001,England,nation,2020-12-03,406
E92000001,England,nation,2020-12-02,337
E92000001,England,nation,2020-12-01,346
E92000001,England,nation,2020-11-30,363
E92000001,England,nation,2020-11-29,404
E92000001,England,nation,2020-11-28,387
E92000001,England,nation,2020-11-27,365
E92000001,England,nation,2020-11-26,373
E92000001,England,nation,2020-11-25,429
E92000001,England,nation,2020-11-24,409
E92000001,England,nation,2020-11-23,400
E92000001,England,nation,2020-11-22,408
E92000001,England,nation,2020-11-21,398
E92000001,England,nation,2020-11-20,391
E92000001,England,nation,2020-11-19,398
E92000001,England,nation,2020-11-18,437
E92000001,England,nation,2020-11-17,368
E92000001,England,nation,2020-11-16,358
E92000001,England,nation,2020-11-15,383
E92000001,England,nation,2020-11-14,361
E92000001,England,nation,2020-11-13,358
E92000001,England,nation,2020-11-12,351
E92000001,England,nation,2020-11-11,312
E92000001,England,nation,2020-11-10,319
E92000001,England,nation,2020-11-09,403
E92000001,England,nation,2020-11-08,341
E92000001,England,nation,2020-11-07,335
E92000001,England,nation,2020-11-06,334
E92000001,England,nation,2020-11-05,301
E92000001,England,nation,2020-11-04,278
E92000001,England,nation,2020-11-03,292
E92000001,England,nation,2020-11-02,287
E92000001,England,nation,2020-11-01,287
E92000001,England,nation,2020-10-31,282
E92000001,England,nation,2020-10-30,282
E92000001,England,nation,2020-10-29,250
E92000001,England,nation,2020-10-28,238
E92000001,England,nation,2020-10-27,219
E92000001,England,nation,2020-10-26,224
E92000001,England,nation,2020-10-25,207
E92000001,England,nation,2020-10-24,170
E92000001,England,nation,2020-10-23,189
E92000001,England,nation,2020-10-22,187
E92000001,England,nation,2020-10-21,191
E92000001,England,nation,2020-10-20,174
E92000001,England,nation,2020-10-19,159
E92000001,England,nation,2020-10-18,121
E92000001,England,nation,2020-10-17,162
E92000001,England,nation,2020-10-16,122
E92000001,England,nation,2020-10-15,124
E92000001,England,nation,2020-10-14,102
E92000001,England,nation,2020-10-13,87
E92000001,England,nation,2020-10-12,96
E92000001,England,nation,2020-10-11,104
E92000001,England,nation,2020-10-10,90
E92000001,England,nation,2020-10-09,68
E92000001,England,nation,2020-10-08,78
E92000001,England,nation,2020-10-07,81
E92000001,England,nation,2020-10-06,62
E92000001,England,nation,2020-10-05,59
E92000001,England,nation,2020-10-04,54
E92000001,England,nation,2020-10-03,55
E92000001,England,nation,2020-10-02,64
E92000001,England,nation,2020-10-01,56
E92000001,England,nation,2020-09-30,48
E92000001,England,nation,2020-09-29,43
E92000001,England,nation,2020-09-28,47
E92000001,England,nation,2020-09-27,44
E92000001,England,nation,2020-09-26,35
E92000001,England,nation,2020-09-25,30
E92000001,England,nation,2020-09-24,33
E92000001,England,nation,2020-09-23,52
E92000001,England,nation,2020-09-22,35
E92000001,England,nation,2020-09-21,24
E92000001,England,nation,2020-09-20,28
E92000001,England,nation,2020-09-19,18
E92000001,England,nation,2020-09-18,21
E92000001,England,nation,2020-09-17,25
E92000001,England,nation,2020-09-16,23
E92000001,England,nation,2020-09-15,15
E92000001,England,nation,2020-09-14,17
E92000001,England,nation,2020-09-13,15
E92000001,England,nation,2020-09-12,18
E92000001,England,nation,2020-09-11,10
E92000001,England,nation,2020-09-10,12
E92000001,England,nation,2020-09-09,10
E92000001,England,nation,2020-09-08,10
E92000001,England,nation,2020-09-07,13
E92000001,England,nation,2020-09-06,9
E92000001,England,nation,2020-09-05,12
E92000001,England,nation,2020-09-04,8
E92000001,England,nation,2020-09-03,6
E92000001,England,nation,2020-09-02,9
E92000001,England,nation,2020-09-01,4
E92000001,England,nation,2020-08-31,8
E92000001,England,nation,2020-08-30,6
E92000001,England,nation,2020-08-29,5
E92000001,England,nation,2020-08-28,9
E92000001,England,nation,2020-08-27,9
E92000001,England,nation,2020-08-26,11
E92000001,England,nation,2020-08-25,11
E92000001,England,nation,2020-08-24,5
E92000001,England,nation,2020-08-23,15
E92000001,England,nation,2020-08-22,7
E92000001,England,nation,2020-08-21,7
E92000001,England,nation,2020-08-20,8
E92000001,England,nation,2020-08-19,3
E92000001,England,nation,2020-08-18,7
E92000001,England,nation,2020-08-17,12
E92000001,England,nation,2020-08-16,4
E92000001,England,nation,2020-08-15,11
E92000001,England,nation,2020-08-14,6
E92000001,England,nation,2020-08-13,7
E92000001,England,nation,2020-08-12,6
E92000001,England,nation,2020-08-11,10
E92000001,England,nation,2020-08-10,11
E92000001,England,nation,2020-08-09,9
E92000001,England,nation,2020-08-08,11
E92000001,England,nation,2020-08-07,8
E92000001,England,nation,2020-08-06,9
E92000001,England,nation,2020-08-05,3
E92000001,England,nation,2020-08-04,10
E92000001,England,nation,2020-08-03,15
E92000001,England,nation,2020-08-02,8
E92000001,England,nation,2020-08-01,9
E92000001,England,nation,2020-07-31,10
E92000001,England,nation,2020-07-30,8
E92000001,England,nation,2020-07-29,8
E92000001,England,nation,2020-07-28,10
E92000001,England,nation,2020-07-27,11
E92000001,England,nation,2020-07-26,15
E92000001,England,nation,2020-07-25,14
E92000001,England,nation,2020-07-24,6
E92000001,England,nation,2020-07-23,16
E92000001,England,nation,2020-07-22,17
E92000001,England,nation,2020-07-21,19
E92000001,England,nation,2020-07-20,12
E92000001,England,nation,2020-07-19,14
E92000001,England,nation,2020-07-18,14
E92000001,England,nation,2020-07-17,18
E92000001,England,nation,2020-07-16,12
E92000001,England,nation,2020-07-15,20
E92000001,England,nation,2020-07-14,20
E92000001,England,nation,2020-07-13,23
E92000001,England,nation,2020-07-12,13
E92000001,England,nation,2020-07-11,20
E92000001,England,nation,2020-07-10,22
E92000001,England,nation,2020-07-09,35
E92000001,England,nation,2020-07-08,23
E92000001,England,nation,2020-07-07,26
E92000001,England,nation,2020-07-06,34
E92000001,England,nation,2020-07-05,24
E92000001,England,nation,2020-07-04,31
E92000001,England,nation,2020-07-03,26
E92000001,England,nation,2020-07-02,40
E92000001,England,nation,2020-07-01,22
E92000001,England,nation,2020-06-30,43
E92000001,England,nation,2020-06-29,34
E92000001,England,nation,2020-06-28,42
E92000001,England,nation,2020-06-27,39
E92000001,England,nation,2020-06-26,37
E92000001,England,nation,2020-06-25,58
E92000001,England,nation,2020-06-24,67
E92000001,England,nation,2020-06-23,62
E92000001,England,nation,2020-06-22,58
E92000001,England,nation,2020-06-21,47
E92000001,England,nation,2020-06-20,54
E92000001,England,nation,2020-06-19,47
E92000001,England,nation,2020-06-18,57
E92000001,England,nation,2020-06-17,54
E92000001,England,nation,2020-06-16,69
E92000001,England,nation,2020-06-15,63
E92000001,England,nation,2020-06-14,76
E92000001,England,nation,2020-06-13,53
E92000001,England,nation,2020-06-12,73
E92000001,England,nation,2020-06-11,71
E92000001,England,nation,2020-06-10,97
E92000001,England,nation,2020-06-09,85
E92000001,England,nation,2020-06-08,112
E92000001,England,nation,2020-06-07,113
E92000001,England,nation,2020-06-06,98
E92000001,England,nation,2020-06-05,109
E92000001,England,nation,2020-06-04,121
E92000001,England,nation,2020-06-03,138
E92000001,England,nation,2020-06-02,155
E92000001,England,nation,2020-06-01,122
E92000001,England,nation,2020-05-31,113
E92000001,England,nation,2020-05-30,145
E92000001,England,nation,2020-05-29,163
E92000001,England,nation,2020-05-28,182
E92000001,England,nation,2020-05-27,171
E92000001,England,nation,2020-05-26,189
E92000001,England,nation,2020-05-25,175
E92000001,England,nation,2020-05-24,169
E92000001,England,nation,2020-05-23,200
E92000001,England,nation,2020-05-22,195
E92000001,England,nation,2020-05-21,201
E92000001,England,nation,2020-05-20,234
E92000001,England,nation,2020-05-19,231
E92000001,England,nation,2020-05-18,253
E92000001,England,nation,2020-05-17,223
E92000001,England,nation,2020-05-16,268
E92000001,England,nation,2020-05-15,269
E92000001,England,nation,2020-05-14,277
E92000001,England,nation,2020-05-13,256
E92000001,England,nation,2020-05-12,275
E92000001,England,nation,2020-05-11,260
E92000001,England,nation,2020-05-10,300
E92000001,England,nation,2020-05-09,330
E92000001,England,nation,2020-05-08,330
E92000001,England,nation,2020-05-07,399
E92000001,England,nation,2020-05-06,391
E92000001,England,nation,2020-05-05,392
E92000001,England,nation,2020-05-04,412
E92000001,England,nation,2020-05-03,388
E92000001,England,nation,2020-05-02,424
E92000001,England,nation,2020-05-01,479
E92000001,England,nation,2020-04-30,484
E92000001,England,nation,2020-04-29,494
E92000001,England,nation,2020-04-28,498
E92000001,England,nation,2020-04-27,506
E92000001,England,nation,2020-04-26,560
E92000001,England,nation,2020-04-25,555
E92000001,England,nation,2020-04-24,603
E92000001,England,nation,2020-04-23,595
