areaCode,areaName,areaType,date,newCasesByPublishDate
K02000001,United Kingdom,overview,2021-06-18,10476
K02000001,United Kingdom,overview,2021-06-17,11007
K02000001,United Kingdom,overview,2021-06-16,9055
K02000001,United Kingdom,overview,2021-06-15,7673
K02000001,United Kingdom,overview,2021-06-14,7742
K02000001,United Kingdom,overview,2021-06-13,7490
K02000001,United Kingdom,overview,2021-06-12,7738
K02000001,United Kingdom,overview,2021-06-11,8125
K02000001,United Kingdom,overview,2021-06-10,7393
K02000001,United Kingdom,overview,2021-06-09,7540
K02000001,United Kingdom,overview,2021-06-08,6048
K02000001,United Kingdom,overview,2021-06-07,5683
K02000001,United Kingdom,overview,2021-06-06,5341
K02000001,United Kingdom,overview,2021-06-05,5765
K02000001,United Kingdom,overview,2021-06-04,6238
K02000001,United Kingdom,overview,2021-06-03,5274
K02000001,United Kingdom,overview,2021-06-02,4330
K02000001,United Kingdom,overview,2021-06-01,3165
K02000001,United Kingdom,overview,2021-05-31,3383
K02000001,United Kingdom,overview,2021-05-30,3240
K02000001,United Kingdom,overview,2021-05-29,3398
K02000001,United Kingdom,overview,2021-05-28,4182
K02000001,United Kingdom,overview,2021-05-27,3542
K02000001,United Kingdom,overview,2021-05-26,3180
K02000001,United Kingdom,overview,2021-05-25,2493
K02000001,United Kingdom,overview,2021-05-24,2439
K02000001,United Kingdom,overview,2021-05-23,2235
K02000001,United Kingdom,overview,2021-05-22,2694
K02000001,United Kingdom,overview,2021-05-21,2829
K02000001,United Kingdom,overview,2021-05-20,2874
K02000001,United Kingdom,overview,2021-05-19,2696
K02000001,United Kingdom,overview,2021-05-18,2412
K02000001,United Kingdom,overview,2021-05-17,1979
K02000001,United Kingdom,overview,2021-05-16,1926
K02000001,United Kingdom,overview,2021-05-15,2027
K02000001,United Kingdom,overview,2021-05-14,2193
K02000001,United Kingdom,overview,2021-05-13,2657
K02000001,United Kingdom,overview,2021-05-12,2284
K02000001,United Kingdom,overview,2021-05-11,2474
K02000001,United Kingdom,overview,2021-05-10,2357
K02000001,United Kingdom,overview,2021-05-09,1770
K02000001,United Kingdom,overview,2021-05-08,2047
K02000001,United Kingdom,overview,2021-05-07,2490
K02000001,United Kingdom,overview,2021-05-06,2613
K02000001,United Kingdom,overview,2021-05-05,2144
K02000001,United Kingdom,overview,2021-05-04,1946
K02000001,United Kingdom,overview,2021-05-03,1649
K02000001,United Kingdom,overview,2021-05-02,1671
K02000001,United Kingdom,overview,2021-05-01,1907
K02000001,United Kingdom,overview,2021-04-30,2381
K02000001,United Kingdom,overview,2021-04-29,2445
K02000001,United Kingdom,overview,2021-04-28,2166
K02000001,United Kingdom,overview,2021-04-27,2685
K02000001,United Kingdom,overview,2021-04-26,2064
K02000001,United Kingdom,overview,2021-04-25,1712
K02000001,United Kingdom,overview,2021-04-24,2061
K02000001,United Kingdom,overview,2021-04-23,2678
K02000001,United Kingdom,overview,2021-04-22,2729
K02000001,United Kingdom,overview,2021-04-21,2396
K02000001,United Kingdom,overview,2021-04-20,2524
K02000001,United Kingdom,overview,2021-04-19,2963
K02000001,United Kingdom,overview,2021-04-18,1882
K02000001,United Kingdom,overview,2021-04-17,2206
K02000001,United Kingdom,overview,2021-04-16,2596
K02000001,United Kingdom,overview,2021-04-15,2672
K02000001,United Kingdom,overview,2021-04-14,2491
K02000001,United Kingdom,overview,2021-04-13,2472
K02000001,United Kingdom,overview,2021-04-12,3568
K02000001,United Kingdom,overview,2021-04-11,1730
K02000001,United Kingdom,overview,2021-04-10,2589
K02000001,United Kingdom,overview,2021-04-09,3150
K02000001,United Kingdom,overview,2021-04-08,3030
K02000001,United Kingdom,overview,2021-04-07,2763
K02000001,United Kingdom,overview,2021-04-06,2379
K02000001,United Kingdom,overview,2021-04-05,2762
K02000001,United Kingdom,overview,2021-04-04,2297
K02000001,United Kingdom,overview,2021-04-03,3423
K02000001,United Kingdom,overview,2021-04-02,3402
K02000001,United Kingdom,overview,2021-04-01,4479
K02000001,United Kingdom,overview,2021-03-31,4052
K02000001,United Kingdom,overview,2021-03-30,4040
K02000001,United Kingdom,overview,2021-03-29,4654
K02000001,United Kingdom,overview,2021-03-28,3862
K02000001,United Kingdom,overview,2021-03-27,4715
K02000001,United Kingdom,overview,2021-03-26,6187
K02000001,United Kingdom,overview,2021-03-25,6397
K02000001,United Kingdom,overview,2021-03-24,5605
K02000001,United Kingdom,overview,2021-03-23,5379
K02000001,United Kingdom,overview,2021-03-22,5342
K02000001,United Kingdom,overview,2021-03-21,5312
K02000001,United Kingdom,overview,2021-03-20,5587
K02000001,United Kingdom,overview,2021-03-19,4802
K02000001,United Kingdom,overview,2021-03-18,6303
K02000001,United Kingdom,overview,2021-03-17,5758
K02000001,United Kingdom,overview,2021-03-16,5294
K02000001,United Kingdom,overview,2021-03-15,5089
K02000001,United Kingdom,overview,2021-03-14,4618
K02000001,United Kingdom,overview,2021-03-13,5534
K02000001,United Kingdom,overview,2021-03-12,6609
K02000001,United Kingdom,overview,2021-03-11,6753
K02000001,United Kingdom,overview,2021-03-10,5926
K02000001,United Kingdom,overview,2021-03-09,5766
K02000001,United Kingdom,overview,2021-03-08,4712
K02000001,United Kingdom,overview,2021-03-07,5177
K02000001,United Kingdom,overview,2021-03-06,6040
K02000001,United Kingdom,overview,2021-03-05,5947
K02000001,United Kingdom,overview,2021-03-04,6573
K02000001,United Kingdom,overview,2021-03-03,6385
K02000001,United Kingdom,overview,2021-03-02,6391
K02000001,United Kingdom,overview,2021-03-01,5455
K02000001,United Kingdom,overview,2021-02-28,6035
K02000001,United Kingdom,overview,2021-02-27,7434
K02000001,United Kingdom,overview,2021-02-26,8523
K02000001,United Kingdom,overview,2021-02-25,9985
K02000001,United Kingdom,overview,2021-02-24,9938
K02000001,United Kingdom,overview,2021-02-23,8489
K02000001,United Kingdom,overview,2021-02-22,10641
K02000001,United Kingdom,overview,2021-02-21,9834
K02000001,United Kingdom,overview,2021-02-20,10406
K02000001,United Kingdom,overview,2021-02-19,12027
K02000001,United Kingdom,overview,2021-02-18,12057
K02000001,United Kingdom,overview,2021-02-17,12718
K02000001,United Kingdom,overview,2021-02-16,10625
K02000001,United Kingdom,overview,2021-02-15,9765
K02000001,United Kingdom,overview,2021-02-14,10972
K02000001,United Kingdom,overview,2021-02-13,13308
K02000001,United Kingdom,overview,2021-02-12,15144
K02000001,United Kingdom,overview,2021-02-11,13494
K02000001,United Kingdom,overview,2021-02-10,13013
K02000001,United Kingdom,overview,2021-02-09,12364
K02000001,United Kingdom,overview,2021-02-08,14104
K02000001,United Kingdom,overview,2021-02-07,15845
K02000001,United Kingdom,overview,2021-02-06,18262
K02000001,United Kingdom,overview,2021-02-05,19114
K02000001,United Kingdom,overview,2021-02-04,20634
K02000001,United Kingdom,overview,2021-02-03,19202
K02000001,United Kingdom,overview,2021-02-02,16840
K02000001,United Kingdom,overview,2021-02-01,18607
K02000001,United Kingdom,overview,2021-01-31,21088
K02000001,United Kingdom,overview,2021-01-30,23275
K02000001,United Kingdom,overview,2021-01-29,29079
K02000001,United Kingdom,overview,2021-01-28,28680
K02000001,United Kingdom,overview,2021-01-27,25308
K02000001,United Kingdom,overview,2021-01-26,20089
K02000001,United Kingdom,overview,2021-01-25,22195
K02000001,United Kingdom,overview,2021-01-24,30004
K02000001,United Kingdom,overview,2021-01-23,33552
K02000001,United Kingdom,overview,2021-01-22,40261
K02000001,United Kingdom,overview,2021-01-21,37892
K02000001,United Kingdom,overview,2021-01-20,38905
K02000001,United Kingdom,overview,2021-01-19,33355
K02000001,United Kingdom,overview,2021-01-18,37535
K02000001,United Kingdom,overview,2021-01-17,38598
K02000001,United Kingdom,overview,2021-01-16,41346
K02000001,United Kingdom,overview,2021-01-15,55761
K02000001,United Kingdom,overview,2021-01-14,48682
K02000001,United Kingdom,overview,2021-01-13,47525
K02000001,United Kingdom,overview,2021-01-12,45533
K02000001,United Kingdom,overview,2021-01-11,46169
K02000001,United Kingdom,overview,2021-01-10,54940
K02000001,United Kingdom,overview,2021-01-09,59937
K02000001,United Kingdom,overview,2021-01-08,68053
K02000001,United Kingdom,overview,2021-01-07,52618
K02000001,United Kingdom,overview,2021-01-06,62322
K02000001,United Kingdom,overview,2021-01-05,60916
K02000001,United Kingdom,overview,2021-01-04,58784
K02000001,United Kingdom,overview,2021-01-03,54990
K02000001,United Kingdom,overview,2021-01-02,57725
K02000001,United Kingdom,overview,2021-01-01,53285
K02000001,United Kingdom,overview,2020-12-31,55892
K02000001,United Kingdom,overview,2020-12-30,50023
K02000001,United Kingdom,overview,2020-12-29,53135
K02000001,United Kingdom,overview,2020-12-28,41385
K02000001,United Kingdom,overview,2020-12-27,30501
K02000001,United Kingdom,overview,2020-12-26,35691
K02000001,United Kingdom,overview,2020-12-25,32725
K02000001,United Kingdom,overview,2020-12-24,39877
K02000001,United Kingdom,overview,2020-12-23,39237
K02000001,United Kingdom,overview,2020-12-22,36804
K02000001,United Kingdom,overview,2020-12-21,33364
K02000001,United Kingdom,overview,2020-12-20,35928
K02000001,United Kingdom,overview,2020-12-19,27052
K02000001,United Kingdom,overview,2020-12-18,28507
K02000001,United Kingdom,overview,2020-12-17,35383
K02000001,United Kingdom,overview,2020-12-16,25161
K02000001,United Kingdom,overview,2020-12-15,18450
K02000001,United Kingdom,overview,2020-12-14,20263
K02000001,United Kingdom,overview,2020-12-13,18447
K02000001,United Kingdom,overview,2020-12-12,21502
K02000001,United Kingdom,overview,2020-12-11,21672
K02000001,United Kingdom,overview,2020-12-10,20964
K02000001,United Kingdom,overview,2020-12-09,16578
K02000001,United Kingdom,overview,2020-12-08,12282
K02000001,United Kingdom,overview,2020-12-07,14718
K02000001,United Kingdom,overview,2020-12-06,17272
K02000001,United Kingdom,overview,2020-12-05,15539
K02000001,United Kingdom,overview,2020-12-04,16298
K02000001,United Kingdom,overview,2020-12-03,14879
K02000001,United Kingdom,overview,2020-12-02,16170
K02000001,United Kingdom,overview,2020-12-01,13430
K02000001,United Kingdom,overview,2020-11-30,12330
K02000001,United Kingdom,overview,2020-11-29,12155
K02000001,United Kingdom,overview,2020-11-28,15871
K02000001,United Kingdom,overview,2020-11-27,16022
K02000001,United Kingdom,overview,2020-11-26,17555
K02000001,United Kingdom,overview,2020-11-25,18213
K02000001,United Kingdom,overview,2020-11-24,11299
K02000001,United Kingdom,overview,2020-11-23,15450
K02000001,United Kingdom,overview,2020-11-22,18662
K02000001,United Kingdom,overview,2020-11-21,19875
K02000001,United Kingdom,overview,2020-11-20,20252
K02000001,United Kingdom,overview,2020-11-19,22915
K02000001,United Kingdom,overview,2020-11-18,19609
K02000001,United Kingdom,overview,2020-11-17,20051
K02000001,United Kingdom,overview,2020-11-16,21363
K02000001,United Kingdom,overview,2020-11-15,24962
K02000001,United Kingdom,overview,2020-11-14,26860
K02000001,United Kingdom,overview,2020-11-13,27301
K02000001,United Kingdom,overview,2020-11-12,33470
K02000001,United Kingdom,overview,2020-11-11,22950
K02000001,United Kingdom,overview,2020-11-10,20412
K02000001,United Kingdom,overview,2020-11-09,21350
K02000001,United Kingdom,overview,2020-11-08,20572
K02000001,United Kingdom,overview,2020-11-07,24957
K02000001,United Kingdom,overview,2020-11-06,23287
K02000001,United Kingdom,overview,2020-11-05,24141
